,price,min_to_metro,total_area,living_area,floor,number_of_floors,construction_year,is_new,is_apartments,ceiling_height,number_of_rooms,living_area_ratio,average_room,highness,ВАО,ЗАО,САО,СВАО,СЗАО,ЦАО,ЮАО,ЮВАО,ЮЗАО
1440,21900000.0,2.4849066497880004,4.120661870539474,3.655839600035736,2.772588722239781,2.8903717578961645,7.60887062919126,0.0,0.0,2.7,2.0,0.6221122112211221,18.85,0.8235294117647058,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1441,86000000.0,1.6094379124341003,4.746669748261791,3.8310215329737995,3.871201010907891,4.394449154672439,7.608374474380783,0.0,1.0,3.035314937012598,2.0,0.3950053999813916,22.554808338937463,0.575,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1442,9550000.0,2.8903717578961645,3.713572066704308,3.1354942159291497,2.4849066497880004,2.5649493574615367,7.583756300707112,0.0,0.0,2.65,2.0,0.55,11.0,0.8333333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1443,59900000.0,2.302585092994046,4.465908118654584,3.713572066704308,2.772588722239781,3.091042453358316,7.603008336866771,0.0,0.0,2.8,2.0,0.46511627906976744,20.0,0.6666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1444,19000000.0,2.4849066497880004,3.9889840465642745,3.6635616461296463,2.70805020110221,2.8903717578961645,7.611347717403621,0.0,1.0,2.6,2.0,0.7169811320754716,19.0,0.7647058823529411,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1445,16500000.0,2.1972245773362196,4.036008985209137,3.8310215329737995,2.772588722239781,2.70805020110221,7.603897968521881,0.0,0.0,2.8,2.0,0.8113240409689735,22.554808338937463,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1446,20999000.0,2.302585092994046,4.174387269895637,3.8310215329737995,1.6094379124341003,1.791759469228055,7.578145472419466,0.0,0.0,3.5,2.0,0.7048377605917957,22.554808338937463,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1447,14900000.0,2.4849066497880004,4.084294226368599,3.8310215329737995,3.1780538303479458,3.258096538021482,7.603008336866771,0.0,0.0,3.035314937012598,2.0,0.7724249431142967,22.554808338937463,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1448,13900000.0,1.9459101490553132,3.817712325956905,3.407841924380824,1.3862943611198906,2.302585092994046,7.587310506022615,0.0,0.0,2.64,2.0,0.6561797752808989,14.6,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1449,28000000.0,2.3978952727983707,4.2456340097683265,3.8310215329737995,3.5263605246161616,3.5263605246161616,7.6128310304073565,0.0,0.0,2.7,2.0,0.6556630331086472,22.554808338937463,0.9696969696969697,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1451,14350000.0,2.70805020110221,4.169761201506855,3.5322256440685598,2.1972245773362196,2.8903717578961645,7.60489448081162,0.0,0.0,2.74,2.0,0.521193092621664,16.6,0.4117647058823529,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
